[INFO] music_player_setup.cpp:3706 main() Starting application
[INFO] music_player_setup.cpp:3212 init_db() Database initialized successfully.
[INFO] music_player_setup.cpp:63 loadConfig() Loading config
[INFO] music_player_setup.cpp:74 loadConfig() Config loaded
[INFO] music_player_setup.cpp:3091 refresh_list() Refreshing list
[DEBUG] music_player_setup.cpp:3096 refresh_list() Starting refresh_list for Samba path: smb://192.168.188.41/media/musica
[DEBUG] music_player_setup.cpp:1587 on_update_position() on_update_position called. Pipeline state: 1
[DEBUG] music_player_setup.cpp:3111 operator()() Parsing SMB line:   .                                   D        0  Thu Mar 26 13:58:28 2026
[DEBUG] music_player_setup.cpp:3111 operator()() Parsing SMB line:   ..                                  D        0  Sun Mar 22 08:58:05 2026
[DEBUG] music_player_setup.cpp:3111 operator()() Parsing SMB line:   Ultimo - Peter Pan (2018)           D        0  Wed Mar  4 16:04:52 2026
[DEBUG] music_player_setup.cpp:3111 operator()() Parsing SMB line:   Gemitaiz-Nonostante.Tutto.2016      D        0  Wed Mar  4 15:56:58 2026
[DEBUG] music_player_setup.cpp:3111 operator()() Parsing SMB line:   mp3 vinti                           D        0  Wed Mar  4 16:02:24 2026
[DEBUG] music_player_setup.cpp:3111 operator()() Parsing SMB line:   Latina                              D        0  Thu Mar  5 07:52:57 2026
[DEBUG] music_player_setup.cpp:3111 operator()() Parsing SMB line:   eros razzotti                       D        0  Wed Mar  4 15:55:55 2026
[DEBUG] music_player_setup.cpp:3111 operator()() Parsing SMB line:   Vari                                D        0  Wed Mar  4 16:05:33 2026
[DEBUG] music_player_setup.cpp:3111 operator()() Parsing SMB line:   Baby K                              D        0  Mon Apr 28 09:51:32 2025
[DEBUG] music_player_setup.cpp:3111 operator()() Parsing SMB line:   Duran Duran                         D        0  Wed Mar  4 15:55:02 2026
[DEBUG] music_player_setup.cpp:3111 operator()() Parsing SMB line:   George Benson                       D        0  Wed Mar  4 15:57:02 2026
[DEBUG] music_player_setup.cpp:3111 operator()() Parsing SMB line:   canzoni dj                          D        0  Thu Mar 26 14:15:21 2026
[DEBUG] music_player_setup.cpp:3111 operator()() Parsing SMB line:   Gianni Togni                        D        0  Wed Mar  4 15:57:04 2026
